label,message
ham,Go until jurong point crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...
ham,Ok lar... Joking wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)
ham,U dun say so early hor... U c already then say...
ham,Nah I don't think he goes to usf, he lives around here though
spam,Win a £1000 cash prize or a prize worth £5000. Txt WIN to 80086 now! No purchase necessary.
ham,Even my brother is not like to speak with me. They treat me like aids patent.
spam,6 missed calls—you have won a FREE vacation! Call now!
ham,I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.
spam,You won 1,00,000! Call now to claim your prize!
ham,Is there a way to get your old number back?
ham,I LOVE YOU! 😘
spam,Exclusive offer! Get 50% off on your next recharge. Reply YES to activate.
